"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-t75d11xx_150",150," best"," transpose"," random",0.013622,6114949,13,36.5809975793755
"N-t75d11xx_150",150," best"," insert"," CW",1.327321,9501094,11,1.46280804883563
"N-t75d11xx_150",150," best"," insert"," random",1.443379,9407346,12,2.43508183867897
"N-t75d11xx_250",250," best"," exchange"," CW",0.950933,20387373,2,18.5061161665726
"N-t75d11xx_250",250," best"," exchange"," random",0.94484,17725242,2,29.1473789944693
"N-t75d11xx_250",250," best"," transpose"," CW",0.048638,20494682,11,18.077172860327
"N-t75d11xx_250",250," best"," transpose"," random",0.052177,17653655,11,29.4335317352851
"N-t75d11xx_250",250," best"," insert"," CW",17.447102,24646331,18,1.48190081016318
"N-t75d11xx_250",250," best"," insert"," random",14.887745,24502685,16,2.05609300437753
"N-t75e11xx_150",150," best"," exchange"," CW",0.13219,32813704,2,21.0643453110742
"N-t75e11xx_150",150," best"," exchange"," random",0.119311,27128168,2,34.7412988917324
"N-t75e11xx_150",150," best"," transpose"," CW",0.007531,32880307,8,20.9041271470642
"N-t75e11xx_150",150," best"," transpose"," random",0.013852,26841183,11,35.4316613348415
"N-t75e11xx_150",150," best"," insert"," CW",1.091086,40755488,9,1.95982972703543
"N-t75e11xx_150",150," best"," insert"," random",2.054071,40847184,17,1.73924860055377
"N-t75e11xx_250",250," best"," exchange"," CW",0.973848,84425466,2,21.0045826165305
"N-t75e11xx_250",250," best"," exchange"," random",0.956812,74235997,2,30.5386887897901
"N-t75e11xx_250",250," best"," transpose"," CW",0.032043,84195824,7,21.2194545799115
"N-t75e11xx_250",250," best"," transpose"," random",0.033645,73890813,7,30.8616713618271
"N-t75e11xx_250",250," best"," insert"," CW",14.898482,104582359,16,2.14413385467308
"N-t75e11xx_250",250," best"," insert"," random",16.751424,103511472,18,3.14614390618445
"N-t75k11xx_150",150," best"," exchange"," CW",0.131262,1198119,2,22.2806104841995
"N-t75k11xx_150",150," best"," exchange"," random",0.119616,1007942,2,34.6169813621727
"N-t75k11xx_150",150," best"," transpose"," CW",0.004596,1218870,5,20.9345379723352
"N-t75k11xx_150",150," best"," transpose"," random",0.010786,995065,9,35.4522845155281
"N-t75k11xx_150",150," best"," insert"," CW",1.258089,1509969,10,2.05157512084878
"N-t75k11xx_150",150," best"," insert"," random",1.412917,1520595,12,1.36228947143091
"N-t75k11xx_250",250," best"," exchange"," CW",1.00198,3289007,2,19.659787158735
"N-t75k11xx_250",250," best"," exchange"," random",0.937871,2846321,2,30.4732294718247
"N-t75k11xx_250",250," best"," transpose"," CW",0.027262,3314218,6,19.043960830016
"N-t75k11xx_250",250," best"," transpose"," random",0.030984,2828312,7,30.9131333373556
"N-t75k11xx_250",250," best"," insert"," CW",13.93895,4031999,15,1.51080315859232
"N-t75k11xx_250",250," best"," insert"," random",14.637708,4027154,15,1.62915144158957
"N-t75n11xx_150",150," best"," exchange"," CW",0.130626,1332177,2,23.5740011726275
"N-t75n11xx_150",150," best"," exchange"," random",0.134129,1099780,2,36.9064433702371
"N-t75n11xx_150",150," best"," transpose"," CW",0.007255,1330987,7,23.6422705832273
