"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-t59f11xx_250",250,"best","exchange","random",4.662068,3840885,10,3.80968623638432
"N-t59f11xx_250",250,"best","transpose","CW",0.031248,3217600,7,19.4191043038753
"N-t59f11xx_250",250,"best","transpose","random",0.02793,2807380,6,29.6925674541937
"N-t59f11xx_250",250,"best","insert","CW",15.125936,3932141,16,1.52429022145221
"N-t59f11xx_250",250,"best","insert","random",10.905512,3910000,12,2.07878475514437
"N-t59n11xx_150",150,"best","exchange","CW",0.547736,308832,9,3.17531978931527
"N-t59n11xx_150",150,"best","exchange","random",0.54176,304470,8,4.54288939051919
"N-t59n11xx_150",150,"best","transpose","CW",0.004407,247734,4,22.3306997742664
"N-t59n11xx_150",150,"best","transpose","random",0.005001,201789,5,36.7353273137698
"N-t59n11xx_150",150,"best","insert","CW",1.415879,314057,12,1.53718334587409
"N-t59n11xx_150",150,"best","insert","random",1.299981,313035,11,1.85759969902182
"N-t59n11xx_250",250,"best","exchange","CW",4.717822,795635,10,3.63041540295152
"N-t59n11xx_250",250,"best","exchange","random",5.220579,795319,11,3.6686902258699
"N-t59n11xx_250",250,"best","transpose","CW",0.027592,654891,6,20.6777308359415
"N-t59n11xx_250",250,"best","transpose","random",0.02453,551214,5,33.2353853160338
"N-t59n11xx_250",250,"best","insert","CW",11.281608,808257,12,2.10160269764828
"N-t59n11xx_250",250,"best","insert","random",14.058788,807596,15,2.18166490634781
"N-t65b11xx_150",150,"best","exchange","CW",0.582766,6224599,9,3.55194956921744
"N-t65b11xx_150",150,"best","exchange","random",0.504889,6239221,8,3.32538663827218
"N-t65b11xx_150",150,"best","transpose","CW",0.004909,5269515,6,18.3506522322538
"N-t65b11xx_150",150,"best","transpose","random",0.007679,4321260,6,33.0435418563471
"N-t65b11xx_150",150,"best","insert","CW",1.401424,6338300,12,1.79019113593838
"N-t65b11xx_150",150,"best","insert","random",1.296285,6238015,11,3.344073199257
"N-t65b11xx_250",250,"best","exchange","CW",5.257863,16659359,11,3.55816338037823
"N-t65b11xx_250",250,"best","exchange","random",5.777552,16629216,12,3.73266266820949
"N-t65b11xx_250",250,"best","transpose","CW",0.032063,14276221,7,17.3542647572687
"N-t65b11xx_250",250,"best","transpose","random",0.033832,10983195,8,36.4177518623948
"N-t65b11xx_250",250,"best","insert","CW",15.856396,16964217,17,1.79332564393323
"N-t65b11xx_250",250,"best","insert","random",14.029472,16880928,15,2.27548970139856
"N-t65d11xx_150",150,"best","exchange","CW",0.548924,3424377,9,3.79198768762922
"N-t65d11xx_150",150,"best","exchange","random",0.911283,3441112,15,3.32181717601571
"N-t65d11xx_150",150,"best","transpose","CW",0.008932,2880856,7,19.0622324825312
"N-t65d11xx_150",150,"best","transpose","random",0.007202,2385962,8,32.9662997173358
"N-t65d11xx_150",150,"best","insert","CW",1.176266,3473599,10,2.40909357811981
"N-t65d11xx_150",150,"best","insert","random",1.653231,3477555,14,2.29794959581069
"N-t65d11xx_250",250,"best","exchange","CW",6.623011,9067453,14,3.03948075300994
"N-t65d11xx_250",250,"best","exchange","random",4.957332,9030966,10,3.42964527503888
"N-t65d11xx_250",250,"best","transpose","CW",0.039758,7696124,8,17.7034411725959
"N-t65d11xx_250",250,"best","transpose","random",0.037395,6291686,8,32.7214443241098
"N-t65d11xx_250",250,"best","insert","CW",12.40861,9142349,13,2.23859928723089
"N-t65d11xx_250",250,"best","insert","random",17.420641,9150164,18,2.15503155791206
"N-t65f11xx_150",150,"best","exchange","CW",0.421912,3031659,7,4.04095683699625
"N-t65f11xx_150",150,"best","exchange","random",0.550604,3026524,9,4.20349150420058
"N-t65f11xx_150",150,"best","transpose","CW",0.006383,2503246,6,20.766454617219
"N-t65f11xx_150",150,"best","transpose","random",0.007109,2143139,7,32.1646768962747
"N-t65f11xx_150",150,"best","insert","CW",1.588237,3096544,13,1.98719600319815
"N-t65f11xx_150",150,"best","insert","random",1.63123,3075505,14,2.65312918008461
"N-t65f11xx_250",250,"best","exchange","CW",4.641352,8103168,10,3.64345750500591
"N-t65f11xx_250",250,"best","exchange","random",6.597815,8157189,14,3.00108198198552
"N-t65f11xx_250",250,"best","transpose","CW",0.041662,6790423,10,19.2535953396887
"N-t65f11xx_250",250,"best","transpose","random",0.042948,5792510,9,31.1199970224388
"N-t65f11xx_250",250,"best","insert","CW",18.588604,8244965,15,1.95731837322897
"N-t65f11xx_250",250,"best","insert","random",14.636775,8229953,13,2.13582934769412
"N-t65l11xx_150",150,"best","exchange","CW",1.052209,245678,15,3.04582550632212
"N-t65l11xx_150",150,"best","exchange","random",0.668982,245764,10,3.01188653333123
"N-t65l11xx_150",150,"best","transpose","CW",0.002593,209910,3,17.1612811567665
"N-t65l11xx_150",150,"best","transpose","random",0.004814,128191,4,49.4108036433093
"N-t65l11xx_150",150,"best","insert","CW",1.457935,248257,10,2.02805095581619
"N-t65l11xx_150",150,"best","insert","random",1.242454,249678,10,1.46726862302483
"N-t65l11xx_250",250,"best","exchange","CW",6.290446,646061,12,3.03082608134435
"N-t65l11xx_250",250,"best","exchange","random",5.688256,646813,11,2.91795621489702
"N-t65l11xx_250",250,"best","transpose","CW",0.01687,541550,4,18.7171859380957
"N-t65l11xx_250",250,"best","transpose","random",0.013696,395635,3,40.6179925373806
"N-t65l11xx_250",250,"best","insert","CW",12.899109,652074,12,2.12831742848823
"N-t65l11xx_250",250,"best","insert","random",13.257075,653964,12,1.84464183329481
"N-t65n11xx_150",150,"best","exchange","CW",0.719141,532215,10,3.36242789155544
"N-t65n11xx_150",150,"best","exchange","random",0.921988,533818,14,3.07136125854089
"N-t65n11xx_150",150,"best","transpose","CW",0.005814,424213,7,22.9730195938867
"N-t65n11xx_150",150,"best","transpose","random",0.005343,342935,6,37.7311691872468
"N-t65n11xx_150",150,"best","insert","CW",1.377076,539751,10,1.99406972162554
