instance, size, algorithm, permutation, initial, time, cost, iterations
N-tiw56n72_150,150,first,insert,CW,102.872436,4062585,2050
N-tiw56n72_150,150,first,insert,random,117.767034,4023623,3083
N-tiw56r54_150,150,first,exchange,CW,26.156163,939012,1062
N-tiw56r54_150,150,first,exchange,random,28.371464,930347,1476
N-tiw56r54_150,150,first,transpose,CW,0.052486,777277,116
N-tiw56r54_150,150,first,transpose,random,0.059266,624466,125
N-tiw56r54_150,150,first,insert,CW,65.300743,940185,1620
N-tiw56r54_150,150,first,insert,random,100.680322,937027,2717
N-tiw56r58_150,150,first,exchange,CW,24.210931,1189087,993
N-tiw56r58_150,150,first,exchange,random,29.879700,1189065,1531
N-tiw56r58_150,150,first,transpose,CW,0.066623,984361,149
N-tiw56r58_150,150,first,transpose,random,0.060137,806469,137
N-tiw56r58_150,150,first,insert,CW,78.393020,1197613,1746
N-tiw56r58_150,150,first,insert,random,112.186430,1195992,2814
N-tiw56r66_150,150,first,exchange,CW,31.821998,1888456,1261
N-tiw56r66_150,150,first,exchange,random,28.925222,1882872,1539
N-tiw56r66_150,150,first,transpose,CW,0.051784,1571383,105
N-tiw56r66_150,150,first,transpose,random,0.077471,1250215,143
N-tiw56r66_150,150,first,insert,CW,85.066575,1911127,1899
N-tiw56r66_150,150,first,insert,random,108.753679,1895325,3093
N-tiw56r67_150,150,first,exchange,CW,30.818306,2019342,1214
N-tiw56r67_150,150,first,exchange,random,26.371697,2013385,1453
N-tiw56r67_150,150,first,transpose,CW,0.061025,1675898,131
N-tiw56r67_150,150,first,transpose,random,0.078408,1302211,127
N-tiw56r67_150,150,first,insert,CW,82.505584,2029498,1888
N-tiw56r67_150,150,first,insert,random,115.136413,2032630,2886
N-tiw56r72_150,150,first,exchange,CW,29.101564,2759159,1196
N-tiw56r72_150,150,first,exchange,random,21.987457,2718908,1325
N-tiw56r72_150,150,first,transpose,CW,0.059394,2264071,127
N-tiw56r72_150,150,first,transpose,random,0.066788,1829418,127
N-tiw56r72_150,150,first,insert,CW,73.757047,2770828,1770
N-tiw56r72_150,150,first,insert,random,122.097489,2746807,3063
