"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-t59d11xx_250",250,"first","transpose","CW",0.043356,3150114,10,17.9907043874947
"N-t59d11xx_250",250,"first","transpose","random",0.024078,2676664,5,30.3163856192662
"N-t59d11xx_250",250,"first","insert","CW",12.498963,3781133,13,1.56291043841624
"N-t59d11xx_250",250,"first","insert","random",13.589766,3769125,14,1.87552376660531
"N-t59f11xx_150",150,"first","exchange","CW",0.536324,1490421,9,3.45344693674359
"N-t59f11xx_150",150,"first","exchange","random",0.534931,1486036,9,3.73749864775839
"N-t59f11xx_150",150,"first","transpose","CW",0.003777,1215566,5,21.2580154728829
"N-t59f11xx_150",150,"first","transpose","random",0.006654,1017299,6,34.1013633834348
"N-t59f11xx_150",150,"first","insert","CW",1.014264,1520288,8,1.51872117782026
"N-t59f11xx_150",150,"first","insert","random",1.227971,1512787,10,2.00462126546495
"N-t59f11xx_250",250,"first","exchange","CW",6.691224,3830656,14,4.06585915473205
"N-t59f11xx_250",250,"first","exchange","random",5.157826,3829449,11,4.09608700813372
"N-t59f11xx_250",250,"first","transpose","CW",0.030367,3217600,7,19.4191043038753
"N-t59f11xx_250",250,"first","transpose","random",0.028467,2807380,6,29.6925674541937
"N-t59f11xx_250",250,"first","insert","CW",15.191463,3932141,16,1.52429022145221
"N-t59f11xx_250",250,"first","insert","random",11.417844,3910000,12,2.07878475514437
"N-t59n11xx_150",150,"first","exchange","CW",0.713965,309933,12,2.83013544018059
"N-t59n11xx_150",150,"first","exchange","random",0.882057,308896,15,3.15525457737647
"N-t59n11xx_150",150,"first","transpose","CW",0.005191,247734,4,22.3306997742664
"N-t59n11xx_150",150,"first","transpose","random",0.00696,201789,5,36.7353273137698
"N-t59n11xx_150",150,"first","insert","CW",1.672855,314057,12,1.53718334587409
"N-t59n11xx_150",150,"first","insert","random",1.438243,313035,11,1.85759969902182
"N-t59n11xx_250",250,"first","exchange","CW",6.499624,793453,13,3.8947054776601
"N-t59n11xx_250",250,"first","exchange","random",5.898056,792444,12,4.01691844071278
"N-t59n11xx_250",250,"first","transpose","CW",0.027177,654891,6,20.6777308359415
