"instance","size","algorithm","permutation","initial","time","cost","iterations","relative_deviation"
"N-t69r11xx_150",150,"best","insert","CW",24.500284,11518559,197,2.84580991648333
"N-t69r11xx_150",150,"best","insert","random",22.211154,11597668,180,2.17855884598772
"N-t70b11xx_150",150,"best","exchange","CW",10.341966,9376727,161,2.80393468424975
"N-t70b11xx_150",150,"best","exchange","random",10.60381,9287815,166,3.72556720691506
"N-t70b11xx_150",150,"best","transpose","CW",0.101098,7746001,101,19.7075035743424
"N-t70b11xx_150",150,"best","transpose","random",0.095177,6107362,89,36.6930960175196
"N-t70b11xx_150",150,"best","insert","CW",25.354991,9464642,206,1.89263673537759
"N-t70b11xx_150",150,"best","insert","random",24.724822,9420264,202,2.35264447438741
"N-t70d11xn_150",150,"best","exchange","CW",10.27543,5618497,160,3.54754995882507
"N-t70d11xn_150",150,"best","exchange","random",13.796911,5581792,215,4.17766281262945
"N-t70d11xn_150",150,"best","transpose","CW",0.134297,4736157,139,18.6946355173526
"N-t70d11xn_150",150,"best","transpose","random",0.113773,3608272,124,38.0569795062682
"N-t70d11xn_150",150,"best","insert","CW",21.466235,5701876,175,2.11618693914505
"N-t70d11xn_150",150,"best","insert","random",25.677782,5651154,208,2.9869289135536
"N-t70d11xx_150",150,"best","exchange","CW",11.491858,5964174,179,3.40132726980013
"N-t70d11xx_150",150,"best","exchange","random",12.364509,5913842,194,4.21652890473841
"N-t70d11xx_150",150,"best","transpose","CW",0.119352,4980983,119,19.3255685210242
"N-t70d11xx_150",150,"best","transpose","random",0.13154,4258714,144,31.0237897255311
"N-t70d11xx_150",150,"best","insert","CW",19.093827,6041535,155,2.14835076021456
"N-t70d11xx_150",150,"best","insert","random",25.843407,6019988,210,2.49733648754539
"N-t70f11xx_150",150,"best","exchange","CW",9.758435,4947950,152,3.925110536753
"N-t70f11xx_150",150,"best","exchange","random",10.804086,4932812,169,4.21904674805154
"N-t70f11xx_150",150,"best","transpose","CW",0.101679,4096896,104,20.4501196773575
"N-t70f11xx_150",150,"best","transpose","random",0.1093,3248829,120,36.9171299103687
"N-t70f11xx_150",150,"best","insert","CW",19.782366,5011709,161,2.68709501976371
"N-t70f11xx_150",150,"best","insert","random",27.366576,5053851,222,1.86881916981369
"N-t70l11xx_150",150,"best","exchange","CW",9.374171,419252,144,4.03102123782796
"N-t70l11xx_150",150,"best","exchange","random",9.350294,419713,146,3.92549592319771
"N-t70l11xx_150",150,"best","transpose","CW",0.040924,340544,42,22.04769469535
"N-t70l11xx_150",150,"best","transpose","random",0.05071,271234,48,37.913116727937
"N-t70l11xx_150",150,"best","insert","CW",19.211619,421956,155,3.41206147479067
"N-t70l11xx_150",150,"best","insert","random",22.697715,424035,182,2.9361674853844
"N-t70n11xx_150",150,"best","exchange","CW",11.986441,917405,187,3.32043085087885
"N-t70n11xx_150",150,"best","exchange","random",11.465021,910062,179,4.09426364693075
"N-t70n11xx_150",150,"best","transpose","CW",0.109993,728829,100,23.193274831307
"N-t70n11xx_150",150,"best","transpose","random",0.091968,594016,96,37.4003728476689
"N-t70n11xx_150",150,"best","insert","CW",24.253061,922088,197,2.8269188007752
"N-t70n11xx_150",150,"best","insert","random",24.674322,923600,201,2.66757858728882
"N-t74d11xx_150",150,"best","exchange","CW",11.45143,9068804,179,3.48274231155154
"N-t74d11xx_150",150,"best","exchange","random",12.500909,9024253,194,3.95688866505947
"N-t74d11xx_150",150,"best","transpose","CW",0.131507,7652431,132,18.5568841525221
"N-t74d11xx_150",150,"best","transpose","random",0.125501,6315715,139,32.7832543142625
"N-t74d11xx_150",150,"best","insert","CW",22.187179,9260973,180,1.43753051816275
"N-t74d11xx_150",150,"best","insert","random",27.049494,9178343,218,2.31694317310562
"N-t75d11xx_150",150,"best","exchange","CW",10.569098,9341114,165,3.12198329416499
"N-t75d11xx_150",150,"best","exchange","random",13.035364,9232902,204,4.24426527721025
"N-t75d11xx_150",150,"best","transpose","CW",0.135148,7813722,142,18.9627821209814
"N-t75d11xx_150",150,"best","transpose","random",0.122723,6140219,138,36.3189188292226
"N-t75d11xx_150",150,"best","insert","CW",20.463469,9432824,167,2.17084589105738
"N-t75d11xx_150",150,"best","insert","random",24.694669,9431092,201,2.18880870844024
"N-t75e11xx_150",150,"best","exchange","CW",11.740572,40210422,184,3.27102402435322
"N-t75e11xx_150",150,"best","exchange","random",13.313515,40126202,203,3.47362111116492
"N-t75e11xx_150",150,"best","transpose","CW",0.108078,32798219,107,21.1015955591065
"N-t75e11xx_150",150,"best","transpose","random",0.105851,26969136,119,35.1238614648722
"N-t75e11xx_150",150,"best","insert","CW",20.461116,40882717,167,1.6537714895863
"N-t75e11xx_150",150,"best","insert","random",22.357963,40530365,182,2.50137881245824
"N-t75k11xx_150",150,"best","exchange","CW",10.845072,1475747,170,4.27148228199866
"N-t75k11xx_150",150,"best","exchange","random",11.179916,1483168,174,3.79009805422432
"N-t75k11xx_150",150,"best","transpose","CW",0.099563,1213608,103,21.2758725372925
"N-t75k11xx_150",150,"best","transpose","random",0.104306,1004913,109,34.8134660442814
"N-t75k11xx_150",150,"best","insert","CW",24.742258,1516135,201,1.65160003009868
"N-t75k11xx_150",150,"best","insert","random",22.167283,1505459,181,2.34412907142987
"N-t75n11xx_150",150,"best","exchange","CW",11.27919,1679621,175,3.6413985705877
"N-t75n11xx_150",150,"best","exchange","random",12.442859,1663955,192,4.5401452818953
"N-t75n11xx_150",150,"best","transpose","CW",0.071944,1330222,77,23.68615806147
"N-t75n11xx_150",150,"best","transpose","random",0.085205,1081998,87,37.9265834200565
"N-t75n11xx_150",150,"best","insert","CW",21.817777,1703086,178,2.29522905821488
"N-t75n11xx_150",150,"best","insert","random",21.941535,1703052,178,2.29717961280344
"N-tiw56n54_150",150,"best","exchange","CW",9.607191,812476,149,3.03945963040534
"N-tiw56n54_150",150,"best","exchange","random",12.612801,810031,196,3.33124489077445
"N-tiw56n54_150",150,"best","transpose","CW",0.120525,688622,122,17.8201433268293
"N-tiw56n54_150",150,"best","transpose","random",0.103054,575431,112,31.3283091372345
"N-tiw56n54_150",150,"best","insert","CW",21.786402,821858,178,1.91981573969652
"N-tiw56n54_150",150,"best","insert","random",28.793456,821525,234,1.95955581810262
"N-tiw56n58_150",150,"best","exchange","CW",10.385766,1110320,162,3.90101368193652
"N-tiw56n58_150",150,"best","exchange","random",11.562336,1105327,180,4.33316138591924
"N-tiw56n58_150",150,"best","transpose","CW",0.128427,924741,136,19.9630082257796
"N-tiw56n58_150",150,"best","transpose","random",0.13457,713691,139,38.2295359497037
"N-tiw56n58_150",150,"best","insert","CW",25.93497,1134710,209,1.79004182130394
"N-tiw56n58_150",150,"best","insert","random",26.944059,1138679,220,1.44652204619731
"N-tiw56n62_150",150,"best","exchange","CW",11.155068,1565254,173,3.79041145820848
"N-tiw56n62_150",150,"best","exchange","random",12.869657,1571950,200,3.37883646470849
"N-tiw56n62_150",150,"best","transpose","CW",0.134129,1309163,134,19.5312495197984
"N-tiw56n62_150",150,"best","transpose","random",0.101598,1052978,110,35.2778653665421
"N-tiw56n62_150",150,"best","insert","CW",21.987995,1586441,179,2.48813556405013
"N-tiw56n62_150",150,"best","insert","random",24.930114,1589283,203,2.31344976185076
"N-tiw56n66_150",150,"best","exchange","CW",11.8186,2028261,185,3.76529154462927
"N-tiw56n66_150",150,"best","exchange","random",12.00798,2030649,188,3.65198833375482
"N-tiw56n66_150",150,"best","transpose","CW",0.123244,1689303,125,19.8477998158111
"N-tiw56n66_150",150,"best","transpose","random",0.102422,1340279,112,36.4079086400341
"N-tiw56n66_150",150,"best","insert","CW",21.627651,2064985,176,2.02285137873591
"N-tiw56n66_150",150,"best","insert","random",22.450688,2058584,183,2.32655902229008
"N-tiw56n67_150",150,"best","exchange","CW",11.042956,2282530,172,3.80947404175267
"N-tiw56n67_150",150,"best","exchange","random",12.010878,2288613,188,3.55312386479814
"N-tiw56n67_150",150,"best","transpose","CW",0.124119,1959003,126,17.4435696688392
"N-tiw56n67_150",150,"best","transpose","random",0.092891,1604879,103,32.3670860363956
"N-tiw56n67_150",150,"best","insert","CW",20.673538,2318206,168,2.30601375685546
"N-tiw56n67_150",150,"best","insert","random",25.120684,2322902,204,2.10811462304345
"N-tiw56n72_150",150,"best","exchange","CW",10.361071,3983313,161,3.68949301809736
"N-tiw56n72_150",150,"best","exchange","random",11.328904,3982943,178,3.69843906064619
"N-tiw56n72_150",150,"best","transpose","CW",0.120416,3401519,117,17.7563953928364
"N-tiw56n72_150",150,"best","transpose","random",0.097569,2503278,105,39.4745094606818
"N-tiw56n72_150",150,"best","insert","CW",21.373872,4058767,174,1.86512897896399
"N-tiw56n72_150",150,"best","insert","random",28.050801,4057011,228,1.90758641333086
"N-tiw56r54_150",150,"best","exchange","CW",10.58017,923438,165,3.62703925726785
"N-tiw56r54_150",150,"best","exchange","random",10.887999,916284,170,4.37365371449563
"N-tiw56r54_150",150,"best","transpose","CW",0.105925,779573,104,18.6412535274767
"N-tiw56r54_150",150,"best","transpose","random",0.115975,632879,121,33.9507113396897
"N-tiw56r54_150",150,"best","insert","CW",23.120323,942427,188,1.6452861221968
"N-tiw56r54_150",150,"best","insert","random",27.496893,938112,214,2.09561340524655
"N-tiw56r58_150",150,"best","exchange","CW",10.92703,1177005,159,3.46839772163422
"N-tiw56r58_150",150,"best","exchange","random",12.574483,1171784,184,3.8965959837447
"N-tiw56r58_150",150,"best","transpose","CW",0.151552,984642,143,19.2449735297857
"N-tiw56r58_150",150,"best","transpose","random",0.09898,803090,106,34.1348894238064
"N-tiw56r58_150",150,"best","insert","CW",25.224252,1191466,193,2.28238449267815
"N-tiw56r58_150",150,"best","insert","random",23.002561,1185238,185,2.79317146383771
"N-tiw56r66_150",150,"best","exchange","CW",10.173973,1854140,160,4.4629538504345
"N-tiw56r66_150",150,"best","exchange","random",12.641559,1870800,188,3.6045250430889
"N-tiw56r66_150",150,"best","transpose","CW",0.094274,1562540,92,19.4880342959312
"N-tiw56r66_150",150,"best","transpose","random",0.133327,1251464,133,35.5166417193309
"N-tiw56r66_150",150,"best","insert","CW",23.016329,1893449,188,2.43750499161409
"N-tiw56r66_150",150,"best","insert","random",23.454574,1886229,192,2.80952515902316
"N-tiw56r67_150",150,"best","exchange","CW",12.461275,1995009,195,2.98286232819655
"N-tiw56r67_150",150,"best","exchange","random",11.680297,1994607,182,3.00241155797149
"N-tiw56r67_150",150,"best","transpose","CW",0.123447,1686488,126,17.9862153615124
"N-tiw56r67_150",150,"best","transpose","random",0.108135,1311015,114,36.2454391209266
"N-tiw56r67_150",150,"best","insert","CW",20.247755,2016645,166,1.93070527493657
"N-tiw56r67_150",150,"best","insert","random",23.009709,2021961,189,1.67218859462921
"N-tiw56r72_150",150,"best","exchange","CW",12.928363,2726408,196,3.44753339344236
"N-tiw56r72_150",150,"best","exchange","random",9.938067,2710114,155,4.0245658445235
"N-tiw56r72_150",150,"best","transpose","CW",0.154285,2269912,121,19.6137912668154
"N-tiw56r72_150",150,"best","transpose","random",0.104188,1804294,110,36.1030938203628
"N-tiw56r72_150",150,"best","insert","CW",20.992846,2771676,172,1.84442151204175
"N-tiw56r72_150",150,"best","insert","random",25.349925,2725285,205,3.48730309042064
"N-be75eec_250",250,"best","exchange","CW",151.462185,8649954,318,2.73883281256167
"N-be75eec_250",250,"best","exchange","random",169.228023,8589659,354,3.41679735151373
"N-be75eec_250",250,"best","transpose","CW",0.67617,7186270,150,19.1966792049909
"N-be75eec_250",250,"best","transpose","random",0.634719,5665677,156,36.2944175278823
"N-be75eec_250",250,"best","insert","CW",291.526663,8724486,282,1.90078566077171
"N-be75eec_250",250,"best","insert","random",319.248314,8661395,341,2.61018877424753
"N-be75np_250",250,"best","exchange","CW",143.129767,17228474,304,3.28727760839857
"N-be75np_250",250,"best","exchange","random",164.255618,17120472,344,3.89355112070952
"N-be75np_250",250,"best","transpose","CW",0.696692,14604923,172,18.0146852443394
"N-be75np_250",250,"best","transpose","random",0.7,11849453,169,33.4826254210716
"N-be75np_250",250,"best","insert","CW",341.517789,17512277,359,1.69413820714321
"N-be75np_250",250,"best","insert","random",307.39855,17438981,334,2.10558821138704
"N-be75oi_250",250,"best","exchange","CW",156.709502,5740225,333,2.87425111199547
"N-be75oi_250",250,"best","exchange","random",158.90331,5743334,335,2.8216462135302
"N-be75oi_250",250,"best","transpose","CW",0.417516,4873909,102,17.5324901659804
"N-be75oi_250",250,"best","transpose","random",0.532272,2974767,127,49.6663505973507
"N-be75oi_250",250,"best","insert","CW",358.413136,5798145,381,1.89423319012077
"N-be75oi_250",250,"best","insert","random",302.388432,5748063,322,2.74163059280255
"N-be75tot_250",250,"best","exchange","CW",170.605839,30022105,362,3.02501963185749
"N-be75tot_250",250,"best","exchange","random",160.336181,29877673,336,3.49155222057942
"N-be75tot_250",250,"best","transpose","CW",0.702155,25382305,174,18.0121270952451
"N-be75tot_250",250,"best","transpose","random",0.773335,20495488,189,33.7971289343136
"N-be75tot_250",250,"best","insert","CW",320.130061,30292362,336,2.15205728396906
"N-be75tot_250",250,"best","insert","random",315.804254,30318649,333,2.06714713829681
"N-stabu1_250",250,"best","exchange","CW",165.999205,7519104,352,2.88461886195108
"N-stabu1_250",250,"best","exchange","random",178.878858,7529820,376,2.74621295291254
"N-stabu1_250",250,"best","transpose","CW",0.744076,6373507,186,17.6809415734876
"N-stabu1_250",250,"best","transpose","random",0.829194,4871705,208,37.0779433470878
"N-stabu1_250",250,"best","insert","CW",328.823437,7576233,340,2.14675107756672
